name,net_worth,age,country/territory,Sorce
Elon Musk,$269.7 B,50,United States,"Tesla, SpaceX"
Jeff Bezos,$170.2 B,58,United States,Amazon
Bernard Arnault & family,$167.9 B,73,France,LVMH
Bill Gates,$130.2 B,66,United States,Microsoft
Gautam Adani & family,$123.7 B,59,India,"infrastructure, commodities"
Warren Buffett,$121.7 B,91,United States,Berkshire Hathaway
Larry Ellison,$107.6 B,77,United States,software
Mukesh Ambani,$104.7 B,65,India,diversified
Larry Page,$102.4 B,49,United States,Google
Sergey Brin,$98.5 B,48,United States,Google
Steve Ballmer,$89.8 B,66,United States,Microsoft
